Year,Meat,Crops,Diversity,Timber,Carbon ,Urban,Recreation
2016,1108954.915,2483703.551,14832.221,61679.319,21141382.62,11.362,3356.413
2017,1093400,2453518.696,14741.9989,61601.1871,21133455.96,11.8258,3422.4717
2018,1077845.085,2423333.841,14651.7768,61523.0552,21125529.3,12.2896,3488.5304
2019,1062290.17,2393148.986,14561.5547,61444.9233,21117602.63,12.7534,3554.5891
2020,1046735.255,2362964.131,14471.3326,61366.7914,21109675.97,13.2172,3620.6478
2021,1031180.34,2332779.276,14381.1105,61288.6595,21101749.31,13.681,3686.7065
2022,1015625.425,2302594.42,14290.8884,61210.5276,21093822.65,14.1448,3752.7652
2023,1000070.51,2272409.565,14200.6663,61132.3957,21085895.99,14.6086,3818.8239
2024,984515.595,2242224.71,14110.4442,61054.2638,21077969.32,15.0724,3884.8826
2025,968960.68,2212039.855,14020.2221,60976.1319,21070042.66,15.5362,3950.9413
2026,953405.765,2181855,13930,60898,21062116,16,4017
2027,937850.85,2152794.5,13866.5,59900.33333,20951086.13,16.2,4063.3
2028,922295.935,2123734,13803,58902.66667,20840056.27,16.4,4109.6
2029,906741.02,2094673.5,13739.5,57905,20729026.4,16.6,4155.9
2030,891186.105,2065613,13676,56907.33333,20617996.53,16.8,4202.2
2031,875631.19,2036552.5,13612.5,55909.66667,20506966.67,17,4248.5
2032,860076.275,2007492,13549,54912,20395936.8,17.2,4294.8
2033,844521.36,1978431.5,13485.5,53914.33333,20284906.93,17.4,4341.1
2034,828966.445,1949371,13422,52916.66667,20173877.07,17.6,4387.4
2035,813411.53,1920310.5,13358.5,51919,20062847.2,17.8,4433.7
2036,797856.615,1891250,13295,50921.33333,19951817.33,18,4480
2037,782301.7,1862189.5,13231.5,49923.66667,19840787.47,18.2,4526.3
2038,766746.785,1833129,13168,48926,19729757.6,18.4,4572.6
2039,751191.87,1804068.5,13104.5,47928.33333,19618727.73,18.6,4618.9
2040,735636.955,1775008,13041,46930.66667,19507697.87,18.8,4665.2
2041,720082.04,1745947.5,12977.5,45933,19396668,19,4711.5
2042,704527.125,1716887,12914,44935.33333,19285638.13,19.2,4757.8
2043,688972.21,1687826.5,12850.5,43937.66667,19174608.27,19.4,4804.1
2044,673417.295,1658766,12787,42940,19063578.4,19.6,4850.4
2045,657862.38,1629705.5,12723.5,41942.33333,18952548.53,19.8,4896.7
2046,642307.465,1600645,12660,40944.66667,18841518.67,20,4943
2047,626752.55,1571584.5,12596.5,39947,18730488.8,20.2,4989.3
2048,611197.635,1542524,12533,38949.33333,18619458.93,20.4,5035.6
2049,595642.72,1513463.5,12469.5,37951.66667,18508429.07,20.6,5081.9
2050,580087.805,1484403,12406,36954,18397399.2,20.8,5128.2
2051,564532.89,1455342.5,12342.5,35956.33333,18286369.33,21,5174.5
2052,548977.975,1426282,12279,34958.66667,18175339.47,21.2,5220.8
2053,533423.06,1397221.5,12215.5,33961,18064309.6,21.4,5267.1
2054,517868.145,1368161,12152,32963.33333,17953279.73,21.6,5313.4
2055,502313.23,1339100.5,12088.5,31965.66667,17842249.87,21.8,5359.7
2056,486758.315,1310040,12025,30968,17731220,22,5406
2057,471203.4,1270697.5,12016.16667,30119.4,17686376.67,21.86666667,5318.233333
2058,455648.485,1231355,12007.33333,29270.8,17641533.33,21.73333333,5230.466667
2059,440093.57,1192012.5,11998.5,28422.2,17596690,21.6,5142.7
2060,424538.655,1152670,11989.66667,27573.6,17551846.67,21.46666667,5054.933333
2061,408983.74,1113327.5,11980.83333,26725,17507003.33,21.33333333,4967.166667
2062,393428.825,1073985,11972,25876.4,17462160,21.2,4879.4
2063,377873.91,1034642.5,11963.16667,25027.8,17417316.67,21.06666667,4791.633333
2064,362318.995,995300,11954.33333,24179.2,17372473.33,20.93333333,4703.866667
2065,346764.08,955957.5,11945.5,23330.6,17327630,20.8,4616.1
2066,331209.165,916615,11936.66667,22482,17282786.67,20.66666667,4528.333333
2067,315654.25,877272.5,11927.83333,21633.4,17237943.33,20.53333333,4440.566667
2068,300099.335,837930,11919,20784.8,17193100,20.4,4352.8
2069,284544.42,798587.5,11910.16667,19936.2,17148256.67,20.26666667,4265.033333
2070,268989.505,759245,11901.33333,19087.6,17103413.33,20.13333333,4177.266667
2071,253434.59,719902.5,11892.5,18239,17058570,20,4089.5
2072,237879.675,680560,11883.66667,17390.4,17013726.67,19.86666667,4001.733333
2073,222324.76,641217.5,11874.83333,16541.8,16968883.33,19.73333333,3913.966667
2074,206769.845,601875,11866,15693.2,16924040,19.6,3826.2
2075,191214.93,562532.5,11857.16667,14844.6,16879196.67,19.46666667,3738.433333
2076,175660.015,523190,11848.33333,13996,16834353.33,19.33333333,3650.666667
2077,160105.1,483847.5,11839.5,13147.4,16789510,19.2,3562.9
2078,144550.185,444505,11830.66667,12298.8,16744666.67,19.06666667,3475.133333
2079,128995.27,405162.5,11821.83333,11450.2,16699823.33,18.93333333,3387.366667
2080,113440.355,365820,11813,10601.6,16654980,18.8,3299.6
2081,97885.44,326477.5,11804.16667,9753,16610136.67,18.66666667,3211.833333
2082,82330.525,287135,11795.33333,8904.4,16565293.33,18.53333333,3124.066667
2083,66775.61,247792.5,11786.5,8055.8,16520450,18.4,3036.3
2084,51220.695,208450,11777.66667,7207.2,16475606.67,18.26666667,2948.533333
2085,35665.78,169107.5,11768.83333,6358.6,16430763.33,18.13333333,2860.766667
2086,20110.865,129765,11760,5510,16385920,18,2773
